STATION_NAME,ELEVATION_(M),DATUM,REFERENCE_TIDE_STATION,TIDAL_SERIES,Std_Dev_(+/-),ACCURACY_CLASS,ORDER_OF_ACCURACY,YEAR_SURVEYED,FIXING_METHOD,YEAR_COMPUTED_x,ENCODER,DATE_UPDATED,REFERENCE_FILE,ISLAND_GROUP,REGION,PROVINCE,CITY_or_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_COMPUTED_y
CP-195,4.537021,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.073275,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,05/24/2023 7:49:26 AM,,VISAYAS,REGION VI,CAPIZ,SAPI-AN,MANINANG,1994.0,11.483959100732,122.584903723528,"CP-195 Is in the island of Panay, province of Capiz, municipality of Sapi-an, Brgy. Talaba, along the national highway leading to Altavas, located on top of the SE concrete railing of the concrete bridge, SW end, 3 m. SE of the road centerline about 150 m. NE of the road junction to Altavas and Mambusao. Mark is a 4"" copper nail embedded on a drilled hole with inscription on top of cement putty thus: ""NAMRIA CP-195, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-203,5.257826,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.076245,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 9:55:35 AM,,VISAYAS,REGION VI,CAPIZ,IVISAN,POBLACION SUR,1994.0,11.5191111111111,122.694377777778,"CP-203 Is in the Island of Panay, Province of Capiz, Mun. of Ivisan, located along the nat'l. highway leading to Sigma, on top of the SE sidewalk, SW end of Ivisan concrete bridge, 15 cm. NW of the concrete railing, 6 m. SE of the road centerline. Mark is a 4"" copper nail embedded in a drilled hole, with inscription on top of the cement putty thus; ""NAMRIA CP-203 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-204,8.696274,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.076531,1-Decimeter,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 10:04:19 AM,,VISAYAS,REGION VI,CAPIZ,IVISAN,ONDOY,1994.0,11.5061361111111,122.695825,"BM CP-204 is in island of Panay, province of Capiz, municipality of Ivisan, along national highway leading to Sigma, located on top of NW side wall of Sayuyan concrete bridge, 0.40 m from NE abutment, 15 cm. SE of concrete rail post, 5 m NW of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP 204, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-205,14.560805,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.076651,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 10:23:49 AM,,VISAYAS,REGION VI,CAPIZ,IVISAN,MIANAY,1994.0,11.4999583333333,122.694030555556,"CP-205 Is in the island of Panay, province of Capiz, municipality of Ivisan, Brgy. Mianay, along the national highway leading to Sigma, located on top of the concrete rail guard of Pamantawan Bridge 0.5 m. from the S abutment, 5 m. W of the road centerline. Mark is a 4"" copper nail embedded in a drilled hole with inscription on top of the cement putty thus: ""NAMRIA CP-205, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-206,43.640111,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.076801,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 10:24:03 AM,,VISAYAS,REGION VI,CAPIZ,IVISAN,MIANAY,1994.0,11.4909666666667,122.695630555556,"BM CP-206 is in island of Panay, province of Capiz, municipality of Ivisan, barangay Mianay, along national highway leading to Sigma, located on top of km post 97, 5.0 m E of road centerline, about 1.0 m above the ground. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-206, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-207,33.605322,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.076933,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 10:32:48 AM,,VISAYAS,REGION VI,CAPIZ,SIGMA,PARIAN,1994.0,11.4823722222222,122.696336111111,"CP-207 is in island of Panay province of Capiz, municipality of Sigma, barangay Parian, along national road leading to Dao, located on top of E head wall of concrete culvert, 0.4 m from N end, 8 m SE of road centerline, about 30 m N of km. post 96. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-207, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-208,24.90698,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077119,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 10:41:34 AM,,VISAYAS,REGION VI,CAPIZ,SIGMA,PARIAN,1994.0,11.4695388888889,122.694869444444,"CP-208 is in island of Panay, province of Capiz, municipality of Sigma, barangay Parian, along national highway leading to Dao, located on top of W head wall of box culvert 3 m. from the N end, 6.0 m W of road centerline. Mark is a 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP 208, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-209,24.529729,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077179,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 11:01:48 AM,,VISAYAS,REGION VI,CAPIZ,SIGMA,MIANAY,1994.0,11.464825,122.693119444444,"CP-209 is in island of Panay, province of Capiz, municipality of Sigma, Barangay Ibian, along national highway leading to Dao, located on top of NW concrete railing NE end of Ibian concrete bridge, 6.0 m NW of road centerline. Mark is a 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA, CP 209, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-210,19.595762,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.07735,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:25:24 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,AMAGA,1994.0,11.450975,122.685380555556,"CP-210 is in island of Panay, province of Capiz, municipality of Sigma, Barangay Amaga, along national highway leading to Dao, located on top of W rail guard N end of Amaga bridge, 5 m W of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP 210, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-211,30.790073,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077426,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:26:23 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,AMAGA,1994.0,11.4429222222222,122.683027777778,"CP-211 is in island of Panay, province of Capiz, municipality of Sigma, barangay Amaga, along national highway leading to Dao, located on top of square concrete base of Amaga Elementary School flagpole, 30 m. NE of road centerline, about 15.0 m NW of school building. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; NAMRIA, 1994 CP-211"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-212,28.681449,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077512,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:29:27 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,AMAGA,1994.0,11.4346222222222,122.677905555556,"CP-212 is in island of Panay, province of Capiz municipality of Sigma, barangay Amaga, along national highway leading to Dao, located on top of km. post 90, 6.0 m SE of road centerline, about 110 m. above the ground. Mark is a 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-212, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-213,22.018367,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077557,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:30:50 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,AMAGA,1994.0,11.4284944444444,122.673916666667,"CP-213 is in island of Panay, province of Capiz, municipality of Sigma, barangay Amaga, along national road leading to Dao, located on top of km post 89 6.0 m SE of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-213, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-214,15.409241,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077609,1-Decimeter,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:34:00 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,POBLACION SUR,1994.0,11.4202305555556,122.666244444444,"BM CP-214 is in island of Panay, province of Capiz, municipality of Sigma, town proper, along national highway leading to Dao, located on top of E concrete railing of Sigma bridge, about 30 m. NE of Dao-Mambusao road junction, at SW end of bridge. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-214, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-215,12.357388,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.077624,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,06/25/2024 1:35:45 PM,,VISAYAS,REGION VI,CAPIZ,SIGMA,POBLACION SUR,1994.0,11.415575,122.667652777778,"CP-215 is in island of Panay, province of Capiz, municipality of Sigma, barangay Poblacion Sur, along national highway leading to Dao, located on top of N head wall of concrete culvert, 6 m. NW of road centerline, about 40 m. N of km. post 87. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA, CP 215, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-230,18.670532,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.078149,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,2023-12-05 08:07:01,,VISAYAS,REGION VI,CAPIZ,DUMALAG,SANTA CRUZ,1994.0,11.336636,122.652885,"CP-230 is in island of Panay, province of Capiz, municipality of Dumalag, barangay Sta. Cruz, sitio Mapanag, along national highway leading to Dumalag proper, located on top of NW side walk NE end of Mapanag bridge, 0.4 m SW from NE approach, 6.0 m NW of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA, CP-230, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-233,22.538488,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.078548,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,05/24/2023 8:50:37 AM,,VISAYAS,REGION VI,CAPIZ,DUMALAG,SAN JOSE,1994.0,11.308485,122.629603,"CP-233 is in island of Panay, province of Capiz, municipality of Dumalag, along national highway leading to Tapaz, located on top of E concrete bench about 8 m. long, E of Roman Catholic Cemetery main gate, about 15 m S of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP-233, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-234,36.599458,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.078595,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,2023-12-05 08:07:41,,VISAYAS,REGION VI,CAPIZ,DUMALAG,POBLACION,1994.0,11.299474,122.61935,"CP-234 is in island of Panay, province of Capiz, municipality of Dumalag, along national highway leading to Tapaz, located on top of decorated concrete fencing, inside Dumalag Central School 3.0 m. NE of concrete main gate, 10 m SE of road centerline. Mark is 4"" copper nail embedded in a drilled hole with inscription on top of cement putty thus; ""NAMRIA CP 234, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
CP-237,42.320661,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.078572,,1st Order,1994,Differential Leveling,2015,Ferdinand F. Fernandez,05/24/2023 8:55:33 AM,,VISAYAS,REGION VI,CAPIZ,DUMALAG,DOLORES,1994.0,11.281876,122.604128,"CP-237 is in island of Panay, province of Capiz, municipality of Dumalag, barangay Dolores, along national highway leading to Tapaz, located on top of S headwall of concrete culvert, W end, 4 m S of road centerline, about 15 m. E of waiting shed. Mark is 4"" copper nail embedded in a hole with inscription on top of cement putty thus; ""NAMRIA CP 237, 1994"". Note: Elevation is inconsistent with the Geiod Model. For Validation",2015.0
