STATION_NAME,ISLAND_GROUP,REGION,PROVINCE,CITY_OR_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_SURVEYED,PROJECT,EPOCH,LATITUDE(WGS84),LONGITUDE(WGS84),ERROR_ELLIPSE,ACCURACY_CLASS,ELLIPSOIDAL_HT(WGS84),HEIGHT_ERROR,ORDER_OF_ACCURACY(WGS84),EGM2008_ELEVATION,UTM_X(WGS84),UTM_Y(WGS84),UTM_Zone(WGS84),LATITUDE(PRS92),LONGITUDE(PRS92),ELLIPSOIDAL_HT(PRS92),NORTHING(PTM),EASTING(PTM),PTM_ZONE,UTMX(PRS92),UTMY(PRS92),UTM_ZONE,LATITUDE(ITRF),LONGITUDE(ITRF),ERROR_ELLIPSE(ITRF),ELLIPSOIDAL_HT(ITRF),HEIGHT_ERROR(ITRF),YEAR_COMPUTED,ENCODER,DATE_UPDATED,REFERENCE_FILE
ILN-1,LUZON,REGION I,ILOCOS NORTE,PASUQUIN,CARUAN,1991,18.39475961,120.5969514,"ILN-1 Is on an open ground NE of Pasuquin town. Travel time from Pasuquin town proper is approx. 5 min. It is approx. 200 m. N 45° W of Caraun concrete bridge; 75 m. W of the national highway and NW of the 2 aroma trees; about 8.2 km. N of Pasuquin Municipal Hall. Station mark is 0.15 m. x 0.01 m. dia. brass rod set in standard concrete block, 0.7 m. deep, flushed with the ground surface and inscribed with the station name. Sub-surface mark is a bottle set in concrete block, 0.806 m. below station mark. Reference marks is 0.15 m. x 0.01 m. dia. brass rod set in concrete blocks, 0.6 m. deep, flushed with the ground surface and inscribed with the station name.",2012,Reobs 2012,2012,18.3947752333333,120.596955511111,0.03,3,41.957,0.1,1,6.076377840255674,246119.46347,2035543.59093,51,18.39652307777778,120.5956841805556,11.07887,2034693.611,457278.89,3,245983.942,2035616.576,51,18.39482048611111,120.5969469138889,0.0264,40.841,0.0915,2022-01-01,TIM,2022-01-01,
ILN-3,LUZON,REGION I,ILOCOS NORTE,SOLSONA,MANALPAC,1991,18.08456284,120.8146957,"ILN-3 From Laoag City, travel S along the national highway for about 2 km. towards San Nicolas. Turn left on a concrete road and head towards Solsona town passing through the Municipality of Dingras and travel for about 37 km. From Solsona town, travel farther E for about 5 km. and turn right towards Brgy. Manalpac, then to Solsona Diversion Dam. Station is on top of the NE end of the bridge concrete railings. It is 15 m. S of National Irrigation Administration Office. Station mark is a cross cut on top of a 0.15 m. x 0.01 m. dia. brass rod set in a drilled hole centered on a cement putty on top of the concrete railings of the bridge and inscribed with station name. RM Nos. 1, 2 and 3 are cross cuts on top of a 0.15 m. x 0.01 m. dia. brass rod set in drilled holes centered on a cement putty, 0.05 m. above the surface of the concrete retaining wall. Inscribed on top with the station name and RM nos.",2012,Reobs 2012,2012,18.0845794027778,120.814702119444,0.02,2,158.684,0.05,1,119.7531186727891,268723.59324,2000912.70661,51,18.086304375,120.8134239638889,126.26646,2000323.571,480250.976,3,268587.183,2000984.767,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
ILN-3023,LUZON,REGION I,ILOCOS NORTE,CURRIMAO,GAANG,2009,17.99533816,120.5027137,"ILN-3023 It is located within a triangular park named Elizabeth Imelda Keon Park along the national highway going to Currimao town Proper and Basic at San Simon Currimao, Ilocos Norte about 30m away from the bridge. Mark is the head of a 3 inch concrete nail embedded and centered on a 30cm x 30cm x 100cm standard concrete monument protruding by about 20cm., with the inscription; ILN-3023 PRS-92 DENR FNSP R-1",2012,Reobs 2012,2012,17.9953540222222,120.502718741667,0.02,2,44.084,0.04,1,7.44554776885608,235556.12006,1991452.75103,51,17.99708034444444,120.5014380611111,12.12343,1990510.193,447200.273,3,235419.192,1991525.751,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
ILN-3306,LUZON,REGION I,ILOCOS NORTE,PASUQUIN,CARUAN,2007,18.39385863,120.5975209,"ILN-3306 From Pasuquin Town Proper, travel along the Nat'l. Highway for about 7 km. going to Burgos Town Proper until reaching Brgy. Caruan. Station is located on top of the concrete seawall. It is also 10 m. from the centerline of the Nat'l. Highway and 150 m. N of station ILN-8. Mark is the head of a 4 in. copper nail centered and embedded on a 20 cm. x 20 cm. x 2 cm. cement putty, with inscriptions ""ILN-3306 2007 NAMRIA"".",2012,Reobs 2012,2012,18.3938750055556,120.597525727778,0.02,2,42.2,0.05,1,6.309633640181744,246178.41547,2035443.12042,51,18.39562278611111,120.5962543777778,11.31754,2034593.836,457338.917,3,246042.891,2035516.103,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
ILS-2,LUZON,REGION I,ILOCOS SUR,SANTA LUCIA,CATAYAGAN,1991,17.1311033,120.4437229,"ILS-2 Is in an open ground, right side of the road dike leading to the cemetery. Travel time from Sta. Lucia proper is 3 min. Accessible by 2-wheel drive vehicle. Mark is a 0.15 m. x 0.01 m. dia. brass rod set in standard concrete block, 1 m. deep, flush with the ground surface and inscribed with the station name. Reference mark (RM) is a 0.15 m. x 0.01 m. dia. brass rod set in concrete blocks, 0.6 m. deep, flush with the ground surface and inscribed with the station name. RM No. 2 is a brass rod in a drilled hole.",2012,Reobs 2012,2012,17.1311149027778,120.443725441667,0.02,2,46.583,0.04,1,8.015765136346829,228016.68116,1895847.74978,51,17.13279072777778,120.4424246472222,11.99748,1894878.504,440669.448,3,227876.802,1895920.284,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,Aila Leana Sampana,2021-01-01,
ARA-26,LUZON,REGION III,AURORA,DINALUNGAN,POBLACION,2006,16.14028573,121.9567645,"ARA-26 Is located at the Dinalungan Municipal Hall compound, between the mun. hall/bldg. and M. L. Quezon St. It is situated 20 m. W of the said hall, 10 m. NW of the flagpole and 1 m. N of the concrete pavement fronting the flagpole. Mark is the head of a 4 in. copper nail centered and embedded in a 30 cm. x 30 cm. concrete block flushed on the ground, with inscriptions ""ARA-26 2006 NAMRIA"".",2012,Reobs 2012,2012,16.1402887194444,121.956763258333,0.0,0,51.954,0.0,1,8.545825965050533,388455.42739,1784735.75416,51,16.14187063333333,121.9554416527778,10.64363,1785381.299,602192.965,3,388313.457,1784802.629,51,0.0,0.0,0.0,0.0,0.0,1999-01-01,Aila Leana Sampana,2021-01-01,
ARA-3004,LUZON,REGION III,AURORA,BALER,BUHANGIN,2007,15.77482984,121.5511847,"ARA-3004 It is located at the right side of the road after the Aguang Bridge going to Baler proper. Station is a concrete monument 30 cm x 30 cm with a mark of 5/8 in. diameter, 4 in. brass rod with inscriptions, ""ARA-3004, 2007, NAMRIA"".",2012,Reobs 2012,2012,15.7748327916667,121.551183544444,0.0,0,56.716,0.0,1,12.17255139790706,344802.24883,1744562.41881,51,15.77640061944444,121.5498526888889,15.28133,1744783.245,558916.783,3,344658.737,1744630.263,51,0.0,0.0,0.0,0.0,0.0,1999-01-01,Aila Leana Sampana,2021-01-01,
ARA-3004,LUZON,REGION III,AURORA,BALER,BUHANGIN,2007,15.77482984,121.5511847,"ARA-3004 It is located at the right side of the road after the Aguang Bridge going to Baler proper. Station is a concrete monument 30 cm x 30 cm with a mark of 5/8 in. diameter, 4 in. brass rod with inscriptions, ""ARA-3004, 2007, NAMRIA"".",2012,Reobs 2012,2012,15.7748326194444,121.551183747222,0.02,2,56.7,0.06,1,12.15655351380367,344802.27043,1744562.39961,51,15.77640044722222,121.5498528916667,15.26533,1744783.226,558916.804,3,344658.759,1744630.244,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,Aila Leana Sampana,2021-01-01,
ARA-3453,LUZON,REGION III,AURORA,UNISAN,ILAYA KABULIHAN,2008,16.39230577,122.2124383,"ARA-3453 The monument is situated at brgy. Ilaya Kabulihan. The station is located infront of the covered court of the barangay at the left side of the road going to Montero St. It is situated near ARA-30. Station is a concrete putty monument 30 x 20 cm with a mark of 5/8"" diameter copper wire nail and a narrow hole mark at the center, set level on the ground with inscription ARA-3453, 2008 NAMRIA.",2012,Reobs 2012,2012,16.392308625,122.212437419444,0.03,2,47.912,0.11,1,5.850726395777926,415901.57852,1812494.28921,51,16.393900725,122.2111221611111,6.7571,1813417.458,629378.18,3,415760.642,1812560.574,51,16.39235349444444,122.2124298416667,0.0254,46.512,0.0959,2022-01-01,TIM,2022-01-01,
BLN-3147,LUZON,REGION III,BULACAN,CITY OF BALIWAG,TARCAN,2008,14.93205893,120.8826675,"BLN-3147 Station is located in the Province of Bulacan, Mun. of Baliuag, Brgy. Tarcan. From Bulalo Rep. travel S for about 50 m until reaching the road going to Tarcan. Then travel W past Tarcan Elem. School towards Georgie Ville Subdivision. Station is situated about 3 m away from the W side concrete post of Georgie Ville Subdivision and the canal. Mark is the head of a 4 in. copper nail centered n a 0.20 m x 0.20 m x 1.00 m concrete monument embedded in the ground with inscriptions, ""BLN-3147, 2008, NAMRIA"".",2012,Reobs 2012,2012,14.93205905,120.882667216667,0.02,2,56.011,0.04,1,13.67281607155832,272253.93085,1651896.12325,51,14.93358810277778,120.8813154916667,13.71715,1651460.627,487231.952,3,272107.047,1651965.359,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
