STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,  RZL-4055 GRAV 2018.58,978402,,2,Albert Morris,
,  RZL-4064 GRAV 2018.58,978402,,2,Albert Morris,
, AKN-3517 GRAV 2013.75,978263,,2,TIM,
, LAG-4684 GRAV 2018.67,978384,,2,Albert Morris,
, LAG-4769 GRAV 2018.67,978377,,2,Albert Morris,
, SKT-3070 GRAV 2014.75,978156,,2,TIM,
,10001 / MMA-115,978345,,1,Gravity Section,
,10002 / BM-66,978343,,1,Gravity Section,
,10003 / CVT-15,978321,,1,Gravity Section,
,10004 / NWRB-15,978402,,1,Gravity Section,
,10005 / MMGS-5,978358,,1,Gravity Section,
,10006 / BL-94,978332,,1,Gravity Section,
,10007 / PA-100,978360,,1,Gravity Section,
,10008 / TA-254,978374,,1,Gravity Section,
,10009 / LA-308,978356,,1,Gravity Section,
,10010 / BG-154,978333,,1,Gravity Section,
,10011 / QZ-328,978339,,1,Gravity Section,
,10012 / BA-199,978394,,1,Gravity Section,
,10013 / BM1-ZA,978517,,1,Gravity Section,
,10014 / ZA-198,978506,,1,Gravity Section,
,10015 / PS-350,978543,,1,Gravity Section,
,10016 / BM101-LU,978447,,1,Gravity Section,
,10017 / BE-25,978195,,1,Gravity Section,
,10018 / LS-198,978527,,1,Gravity Section,
,10019 / NJ-344,978397,,1,Gravity Section,
,10020 / NJ-130=NJ-73,978299,,1,Gravity Section,
,10021 / SB-121,978472,,1,Gravity Section,
,10022 / CG-118,978498,,1,Gravity Section,
,10023 / MP-19,978322,,1,Gravity Section,
,10024 / IF-86,978359,,1,Gravity Section,
,10025 / QR-80,978464,,1,Gravity Section,
,10026 / CG-220,978601,,1,Gravity Section,
,10027 / CN-176,978397,,1,Gravity Section,
,10028 / CS-261,978365,,1,Gravity Section,
,10029 / AL-290,978325,,1,Gravity Section,
,10030 / SR-99,978350,,1,Gravity Section,
,10031 / LY-894,978325,,1,Gravity Section,
,10032 / M-1,978237,,1,Gravity Section,
,10033 / CU-729,978254,,1,Gravity Section,
,10034 / ME-143,978224,,1,Gravity Section,
,10035 / TGBM-AK,978331,,1,Gravity Section,
,10036 / PL-10,978223,,1,Gravity Section,
,10037 / ZS-177,978225,,1,Gravity Section,
,10038 / TGBM-BH,978248,,1,Gravity Section,
,10039 / TGBM-NE,978214,,1,Gravity Section,
,10040 / BM7-DV,978094,,1,Gravity Section,
,10041 / BK-56,978061,,1,Gravity Section,
,10042 / AN-12,978222,,1,Gravity Section,
,10043 / CM-11,978280,,1,Gravity Section,
,10044 / LE-01,978214,,1,Gravity Section,
,10045 / M-2,978022,,1,Gravity Section,
,10046 / BM1-SC,978161,,1,Gravity Section,
,10047 / SQJ-2,978247,,1,Gravity Section,
,10048 / MW-47,978211,,1,Gravity Section,
,10049 / MW-86,978224,,1,Gravity Section,
,10050 / ZN-39,978251,,1,Gravity Section,
,10051 / NC-99,978217,,1,Gravity Section,08/16/2017 0:00
