STATION_NAME,ISLAND_GROUP,REGION,PROVINCE,CITY_OR_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_SURVEYED,PROJECT,EPOCH,LATITUDE(WGS84),LONGITUDE(WGS84),ERROR_ELLIPSE,ACCURACY_CLASS,ELLIPSOIDAL_HT(WGS84),HEIGHT_ERROR,ORDER_OF_ACCURACY(WGS84),EGM2008_ELEVATION,UTM_X(WGS84),UTM_Y(WGS84),UTM_Zone(WGS84),LATITUDE(PRS92),LONGITUDE(PRS92),ELLIPSOIDAL_HT(PRS92),NORTHING(PTM),EASTING(PTM),PTM_ZONE,UTMX(PRS92),UTMY(PRS92),UTM_ZONE,LATITUDE(ITRF),LONGITUDE(ITRF),ERROR_ELLIPSE(ITRF),ELLIPSOIDAL_HT(ITRF),HEIGHT_ERROR(ITRF),YEAR_COMPUTED,ENCODER,DATE_UPDATED,REFERENCE_FILE
MMA-5 (ENGINEERING 1956),LUZON,NCR,NCR - SECOND DISTRICT,QUEZON CITY,U.P. CAMPUS,1956-01-01 00:00:00,14.6563818083333,121.069763722222,"MMA-5 = ""ENGINEERING 1956"" In Diliman, Quezon City inside the Univ. of the Philippines at the center of the deck roof of the kidney-shape elevator penthouse, at the E wing of the Engineering building. Station mark is a regular PC & GS triangulation disk embedded on the concrete roof of the Engineering Bldg. with inscription ""ENGINEERING 1956"". Latitude is 14° 39' 28.39"" and the longitude is 121° 04' 06.187"". Reference mark no. 1 is a drill hole with three rays, chiseled around it on the concrete curve of the deck roof, 2.7990 m. N 41° W from the station. Reference mark No. 2 is a similar marker, 3.872 m., N 88° E from the station. Reference mark no. 3 is a similar marker, 2.578 m., S 39° W from the station.",2012,Reobs 2012,2012,14.6563823944444,121.069763383333,0.02,2,134.08,0.04,1,90.03199047761248,292122.95054,1621207.15031,51,14.65788950277778,121.0684054194444,90.53817,1620956.436,507368.334,3,291975.319,1621275.524,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
MMA-3,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF TAGUIG,FORT BONIFACIO,2014-01-21 00:00:00,14.5350154333333,121.040285102778,"MMA-3 From the south super highway/E. de los Santos interchange, travel northeast for 1 kilometer towards Nichols/Fort Bonifacio gate, (Gate 3). Then turn left to enter the gate of Fort Bonifacio. Continue travelling on northwest direction for 2 kilometers up to the National Mapping and Resource Information Authority building; (NAMRIA). Station is located at the sidewalk about 10 meters north of the western gate and approximately 10 meters from the guard house. Station mark is 0.15 m. x 0.01 m. in diameter brass rod centered in a 0.25 m. x 0.25 m. x 0.65 m concrete block, flush level with the ground surface with inscription ""MMA-3 1989 NAMRIA""",2017,Reobs 2017,2017.42,14.53501545,121.040285191667,0.01,1,71.529,0.01,1,27.81100461509793,288831.41153,1607804.27975,51,14.53651537222222,121.0389242916667,27.57602,1607527.695,504195.053,3,288683.349,1607872.636,51,14.53505963055555,121.0402771361111,0.0095,69.916,0.0151,2017-01-01,TIM,2022-01-01,
MMA-3045,LUZON,NCR,NCR - THIRD DISTRICT,CITY OF NAVOTAS,NBBS PROPER,2014-01-21 00:00:00,14.6412125611111,120.958299961111,"MMA-3045 From Luneta going to Navotas/Caloocan take Road 10 Highway then turn to C3 Road going to Caloocan go to the U-turn Slot where the GCP of LMS-NCR is located. Station is located on the center island of a U-turn slot facing the route going to Caloocan Area. The station is about 50 to 60 cm. higher above the ground. Station is marked with a head of a 4 in. copper nail embedded on the center of a 0.25 m x 0.25 cm x 30 cm cement putty with inscriptions, ""MMA-3045, 2007, LMS-NCR"".",2017,Reobs 2017,2017.42,14.6412126166667,120.958298511111,0.01,1,47.659,0.05,1,4.730362964540809,280099.25402,1619633.78095,51,14.64272126944444,120.9569400083333,4.3454,1619277.649,495361.447,3,279951.469,1619702.503,51,14.64125678611111,120.9582904083333,0.0125,46.017,0.0305,2017-01-01,TIM,2022-01-01,
MMA-3055 (LMS),LUZON,NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,1999-11-30 00:00:00,14.5780285277778,121.034419652778,"MMA-3055 From EDSA take Boni Ave. to Mandaluyong City Hall. Turn right at the round about & enter the Entrance gate of the City Hall opposite M. Martinez Ave. look for the GCP of LMS-NCR just beside the Gate. The station was marked with a head of a 4"" copper nail embedded on the center of a 25 x 25 cm cement putty with inscriptions that read ""MMA-3055, 2008 LMS-NCR"".",2017,Reobs 2017,2017.42,14.5780287361111,121.034418952778,0.01,1,48.62,0.03,1,4.961002261107893,288240.1349,1612569.46092,51,14.57953159722222,121.0330590638889,4.94068,1612286.594,503562.24,3,288092.209,1612637.877,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3077,LUZON,NCR,NCR - FOURTH DISTRICT,PATEROS,TABACALERA,2014-01-21 00:00:00,14.5484807694444,121.069424461111,"MMA-3077 From C-5 to Buting road, turn left ot Pateros cemetery then turn right to F. C. Cruz where the station is located at Tabacalera Learning center compound. Mark is a 25 cm x 25 cm cement putty with inscription MMA-3077 2008 LMS-NCR. Note: No inscription only cooper nail",2017,Reobs 2017,2017.42,14.5484810555556,121.069424308333,0.01,1,49.595,0.02,1,5.589918459920362,291984.95952,1609267.54876,51,14.54998120277778,121.0680638111111,5.61224,1609018.19,507335.113,3,291836.968,1609335.824,51,14.54852524444444,121.0694162666667,0.0094,47.983,0.018,2017-01-01,TIM,2022-01-01,
MMA-3135 (LMS),LUZON,NCR,NCR - SECOND DISTRICT,CITY OF SAN JUAN,BALONG-BATO,1999-11-30 00:00:00,14.6075314638889,121.026834097222,"MMA-3135 STA. MARK: The station was marked with a head of a 4'' copper nail embedded on the center of a 25 cm. x 25 cm. cement putty with inscriptions that read '' MMA 3135 ; 2008 ; LMS-NCR''. The station is located at Pinaglabanan Monument. ACCESS: From Cubao Aurora Blvd., turn left at N. Domingo and stop at the front of Pinaglabanan Monument between Capt. Manzano St. and Pinaglabanan St. where the GCP of LMS-NCR is located.",2017,Reobs 2017,2017.42,14.6075317722222,121.026833002778,0.01,1,64.63,0.04,1,21.03585885864965,287450.9252,1615841.28972,51,14.60903670555556,121.0254738055555,21.05327,1615550.728,502744.534,3,287303.091,1615909.758,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3161,Luzon,NCR,NCR - SECOND DISTRICT,QUEZON CITY,COMMONWEALTH,2014-01-21 00:00:00,14.6963683527778,121.079087869444,"The station was marked with a head of 4"" copper nail embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read; ""MMA 3161, 2009; LMS-NCR"". It's located within the compound of NGC Plaza in front of NGC office. From Commonwealth Ave. near Commonwealth Market turn left to Pitot Drive going to Mabuting Pastol Parish near NGCHP office where the GCP of LMS-NCR is located.",2017,Reobs 2017,2017.42,14.696368925,121.079086886111,0.01,1,115.972,0.03,1,71.80785022731621,293164.97898,1625623.35,51,14.69787839722222,121.0777299027778,72.52882,1625380.887,508371.206,3,293017.488,1625691.731,51,14.69641316111111,121.0790788388889,0.011,114.378,0.0251,2017-01-01,TIM,2022-01-01,
MMA-3222,LUZON,NCR,NCR - THIRD DISTRICT,CITY OF VALENZUELA,PASO DE BLAS,1999-11-30 00:00:00,14.7065860111111,120.990480758333,"MMA-3222 STA. MARK : THE STATION WAS MARKED WITH A HEAD OF 8MM STAINLESS STEEL BOLT EMBEDDED ON THE CENTER OF A 25 CM X 25 CM CEMENT PUTTY WITH INSCRIPTIONS THAT READ ""MMA-3222; 2009; LMS-NCR"". THIS IS LOCATED AT NLEX WEST SERVICE ROAD AT THE CORNER OF THE SIDEWALK. ACCESS: FROM VALENZUELA CITY HALL TRAVEL TO MAYSAN ROAD GOING TO PASO DE BLAS AND STOP AT THE CORNER OF WEST SERVICE ROAD NEAR PUREGOLD WHERE THE GCP OF LMS-NCR IS LOCATED.",2017,Reobs 2017,2017.42,14.7065864833333,120.990479411111,0.01,1,54.179,0.03,1,10.90795127785425,283630.83887,1626837.12399,51,14.70809863888889,120.9891224444444,10.9689,1626510.181,498828.585,3,283483.301,1626905.802,51,14.70663071944444,120.9904713166667,0.0108,52.588,0.0268,2017-01-01,TIM,2022-01-01,
MMA-3234,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF TAGUIG,FORT BONIFACIO,1999-11-30 00:00:00,14.5296908333333,121.026045241667,"MMA-3234 STA. MARK : The station was marked with a head of 8mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA-3234; 2009; LMS-NCR"". This is located at Pasong Tamo Extension near Gate 10 of Fort Bonifacio. ACCESS: From Lawton Avenue go to Pasong Tamo Extension stop at Mini Park after Petron Gas Station and look for the GCP of LMS-NCR at the sidewalk near Gate 10 of Fort Bonifacio.",2017,Reobs 2017,2017.42,14.5296909472222,121.026045208333,0.01,1,53.471,0.01,1,9.884917069268134,287291.35643,1607228.31627,51,14.53119089166667,121.0246841472222,9.53959,1606938.421,502660.39,3,287143.263,1607296.714,51,14.529735125,121.0260371472222,0.009,51.858,0.0147,2017-01-01,TIM,2022-01-01,
MMA-3289,Luzon,NCR,NCR - SECOND DISTRICT,QUEZON CITY,MATANDANG BALARA,2014-01-21 00:00:00,14.6571585111111,121.074627191667,"Access:The station is located along Katipunan Avenue in front of MWSS Compound, from LRT- Katipunan station go straight along Katipunan Avenue going to UP stop in front of MWSS compound near the Gate of UP at Magsaysay Ave where you will see the GCP of LMS-NCR. The station was marked with a head of a 4"" stainless steel bolt embedded on the center of a 20cm. x 20cm. cement putty with inscriptions that read ""MMA 3289; 2010 ; LMS-NCR"".",2017,Reobs 2017,2017.42,14.6571590222222,121.074626586111,0.01,1,116.175,0.03,1,72.0778829156952,292647.59804,1621288.62685,51,14.658666075,121.0732686444444,72.62352,1621042.515,507892.151,3,292499.973,1621356.985,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
