station_id,station_name,new_station_name,region,province,city,barangay,date_established,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,horizontal_coords_source,horizontal_date_entry,horizontal_datum,horizontal_reference,elevation_horizontal_datum,horizontal_authority,horizontal_order,horizontal_date_computed,horizontal_fix,elevation,ellipsoidal_height,elevation_date_entry,elevation_datum,elevation_established_datum,elevation_authority,elevation_order,elevation_date_computed,elevation_fix,mark_status,mark_type,mark_const,authority,wgs84ND,wgs84NM,wgs84NS,wgs84ED,wgs84EM,wgs84ES,ellipz,image,inscription,description,encoder,ucode,latitude,longitude,date_updated,bm_plus,accuracy_class,lon,lat,elevation_alt,latitude_decimal,longitude_decimal,status_tag,epoch
,MMA-4269 (GM-3HA),0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,TALAYAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,6.0424,0,02/23/2015,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"GM-3HA is in Metro Manila,City of Quezon,Brgy Talayan along Araneta Avenue.The station is located on the top of a concrete Monument at the corner of calamba Street near the first Streetlight beside Bethany Trucking Corporation and 20 meters from the Flood Control River. Mark is the head of 8 mm stainless bolt flushed at the top center of a 25x25x120 cm. concrete monument with inscription of "" QUEZON CITY,MMA-4269, Cad. 1331-D,2012,LMS-NCR,FLS"".The monument is located at brgy. Sto. Domingo,Quezon city.",Edil,79504,14.6329444444444,121.008861111111,07/04/2022 3:25:20 PM,0.032536,3 CM,121 0 31.90,14 37 58.60,0,,,0,
,MM-604,0,NCR,"NCR - MANILA, FIRST DISTRICT",PANDACAN,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,1.5835,0,04/27/2015,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-604 is in the Province of Metro Manila, City of Manila, District of Pandacan, Brgy. 167 along Quirino Avenue. The station is located at the top of the concrete sidewalk beside KM. Post 7, 15 meters from the road centerline and 50 meters from the corner of Guanzon Avenue. It is also 4.50 meters from the lamp post. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ""MM-604, 2013, NAMRIA"".",Edil,79533,14.5923055555556,121.001527777778,06/30/2022 10:20:52 AM,0.031807,3 CM,121 0 5.50,14 35 32.30,0,,,0,
,MM-603 (MMA-3857),0,NCR,"NCR - MANILA, FIRST DISTRICT",SAMPALOC,BARANGAY 460,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,1.3666,0,05/29/2015,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-603 is in the Province of Metro Manila, City of Manila, District of Sampaloc Brgy. 460 along Lacson Ave. The station is located at the top of the concrete beside the plant box and 2 m from the traffic light. It is also 10 m from China Bank and 10 m from the Island od Espana Blvd. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-604, 2013, NAMRIA"".",Edil,79554,14.6095,120.99275,06/30/2022 10:21:01 AM,0.027185,3 CM,120 59 33.90,14 36 34.20,0,,,0,
,MM-519 (MMA-4440),0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,PAYATAS,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,72.7894,0,04/06/2018,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-519 (MMA-4440) is in the Province of Metro Manila, City of Quezon, Brgy. Payatas along Payatas Road. the station is concrete monument located at the ground beside the streetsign and 6.0 m from the road centerline. It is also 3.50 m from the lamp post. Mark is the head of a 4 in. copper nail set flush on a 20cm x 20cm concrete monument buried deep and protruding 0.10 m above ground level with inscriptions ''QUEZON CITY, MMA-4440, CAD, LMS NCR, 2012''.",Melchor Degollado Jr,85709,14.7203888888889,121.100972222222,05/12/2022 10:02:43 AM,0.030957,3 CM,121 6 3.50,14 43 13.40,0,,,0,
,MM-518,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,PAYATAS,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,89.356,0,04/06/2018,1,,Batilaran,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"Mark is the head of a 4"" copper nail set flushe on a 15 cm. x 15 cm. cement putty with inscriptions ""MM-518, 2013, 2013"" It is in the province of Metro Manila, city of Quezon, brgy. Payatas along Payatas road. The station is located on the top of a concrete foundation of Maynilad Water System Services and 3 m. from the road centerline. It is also 2 m. from the lamp post adn 2.5 m. from the waiting shed.",Melchor Degollado Jr,85708,14.7230555555556,121.106722222222,05/12/2022 10:02:33 AM,0.033239,3 CM,121 6 24.20,14 43 23.00,0,,,0,
,MM-10A,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,NOVALICHES PROPER,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,45.5109,0,07/23/2015,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-10 A was established in the bridge along the intersection of common wealth extension and Jordan Plains Subd. road. It is beside the river and 2 m away from wooden electrical post. Head of a 4"" copper nail flushed at the center of a 20x20 cm concrete putty with inscriptions ""MM 10A, 2013, NAMRIA"".",Christian Samin,79665,14.7251388888889,121.048694444444,09/02/2022 1:03:41 PM,0.01335,1 CM,121 2 55.30,14 43 30.50,0,,,0,
,MM-554,0,NCR,NCR - THIRD DISTRICT,VALENZUELA,BIGNAY,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,13.3209,0,08/11/2016,1,,,1,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-554 is in the Province of Metro Manila, City of Valenzuela, Brgy. Bignay along Susano-Valenzuela National Road. The station is located at the top of the concrete sidewalk of a bridge and 2.50m from the road centerline. Mark is the head of a 4"" copper nail set flush on a 15cm x 15cm cement putty with inscription ""MM-554, 2013, NAMRIA"".",Christian Samin,82241,14.7444166666667,120.991694444444,09/02/2022 2:03:53 PM,0.031738,3 CM,120 59 30.10,14 44 39.90,0,,,0,
,MM-262,0,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,MANGGAHAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,7.8837,0,04/13/2016,1,,A.A. BATILARAN,1,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-262 is in the Province of Metro Manila, Municipality of Pasig, Brgy. Mangahan along Magsaysay Street. The station is located on the top of PLDT Telephone Box footing beside the Iglesia ni Cristo CHB fence and 3m from the road centerline. Mark is the head of a 4"" copper nail set flushed on a 15cm x 15cm cement putty with inscription ""MM-262; 2012; NAMRIA"".",Melchor Degollado Jr,81180,14.6032083333333,121.097988888889,05/12/2022 8:13:03 AM,0.011813,1 CM,121 5 52.76,14 36 11.55,0,,,0,
,MMA-3,0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,25.4105,0,05/24/2017,1,,,1,01/06/2020,1,1,21,10,NAMRIA,0,0,0,0,0,0,0,,,"MMA-3 is in the province of Metro Manila ,town of Taguig City ,Fort Bonifacio within the NAMRIA compound.It is located left side of the guard house 2. mark is the head of a 4"" copper nail centered on a 0.20m. x 0.20m. concrete monument and inscription with ""MMA-3,19-89,NAMRIA"".",Edil,82953,14.5350055555556,121.040233333333,06/29/2022 9:09:53 AM,0.02548,3 CM,121 2 24.84,14 32 6.02,0,,,0,2018
,MM-820 (PT-2),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,25.0745,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-2 is in the province of Metro Manila ,town of Taguig City ,Fort Bonifacio within the NAMRIA compound. It is located near microphone post approximately 3.5m Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82955,14.5351521916667,121.040541638889,05/18/2022 11:11:56 AM,0.025474,3 CM,121 2 25.94990,14 32 6.54789,0,,,0,
,MM-822 (PT-4),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,23.2288,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-4 is in the province of Metro Manila ,town of Taguig City ,Fort Bonifacio within the NAMRIA compound. It is located along the pathway, right side of the annex building, near microphone post and acacia tree approximately 3 meters and 4.5 meters respectively. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82956,14.535657025,121.041358944444,05/18/2022 11:12:21 AM,0.025536,3 CM,121 2 28.89220,14 32 8.36529,0,,,0,
,MM-821 (PT-3),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,21.997,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-3 is in the province of Metro Manila ,town of Taguig City ,Fort Bonifacio within the NAMRIA compound. It is located along the pathway between NAMRIA Main Building and NAMRIA Annex Building. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82957,14.5356500333333,121.040613483333,05/18/2022 11:12:08 AM,0.025503,3 CM,121 2 26.20854,14 32 8.34012,0,,,0,
,MM-819 (PT-1),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,26.3844,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-1 is in the Province of Metro Manila, town of Taguig City, Brgy. Fort Bonifacio within NAMRIA compound. It is located beside the flagpole. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82958,14.5349813166667,121.040933708333,05/18/2022 11:02:52 AM,0.025512,3 CM,121 2 27.36135,14 32 5.93274,0,,,0,
,MM-823 (PT-5),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,24.4161,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-5 is in the Province of Metro Manila, town of Taguig City, Brgy. Fort Bonifacio within NAMRIA compound. It is located beside post of ongoing construction of sports complex. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82959,14.5353998694444,121.041458205556,05/18/2022 11:12:37 AM,0.025524,3 CM,121 02 29.24954,14 32 7.43953,0,,,0,
,MM-824 (PT-6),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,26.1022,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-6 is in the Province of Metro Manila, town of Taguig City, Brgy. Fort Bonifacio within NAMRIA compound. It is located near microphone post approximately 2 meters, right side of NAMRIA main building. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82960,14.5350924305556,121.041342966667,05/18/2022 11:12:48 AM,0.025533,3 CM,121 2 28.83468,14 32 6.33275,0,,,0,
,MM-825 (PT-7),0,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,OJT-SLU,0,11/30/1999,0,23.8554,0,05/24/2017,1,,,1,01/06/2020,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"PT-7 is in the Province of Metro Manila, town of Taguig City, Brgy. Fort Bonifacio within NAMRIA compound. It is located near lamp post approximately 2 meters. Mark is the head of 4"" concrete nail.",Aila Leana Sampana,82961,14.5355555555556,121.041444444444,05/18/2022 11:12:58 AM,0.02553,3 CM,121 2 29.2,14 32 8,0,,,0,
,MM-537,0,NCR,NCR - THIRD DISTRICT,CALOOCAN CITY,BARANGAY 186,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,74.4098,0,06/13/2017,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-537 is in the Province of Metro Manila, City of Caloocan, 186 Barracks II Tala along Saint Joseph Avenue.The station is located on the top of a concrete sidewalk beside the Meralco concrete post and 2.70 meters from the center of the entrance gate of House No. 600. It is also 4 meters from Saint Joseph Avenue centerline. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ""MM-537, 2013, NAMRIA"".",Christian Samin,82967,14.7691666666667,121.072833333333,09/02/2022 1:45:14 PM,0.051977,5 CM,121 4 22.20,14 46 9.00,0,,,0,
,MM-843 (TBMJ-20),0,NCR,NCR - THIRD DISTRICT,NAVOTAS,NAVOTAS EAST,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,JDN,0,11/30/1999,0,0.4549,0,11/30/1999,1,,,2,08/10/2022,1,1,27,10,NAMRIA,0,0,0,0,0,0,0,,,"The Temporary Benchmark is a 1"" concrete nail embedded on the road, painted in red, and labelled with ""TBM JDN 20"". It is located in the intersection of Estrella St. and F. Sevilla Blvd. in Malabon approx 130m after Estrella Bridge crossing over the Navotas River.",Dexter Alamar,107792,14.6561666666667,120.951416666667,08/10/2022 10:10:03 AM,0.047419,5CM,120 57 5.1,14 39 22.2,0,,,0,
,MM-210,0,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,SANTA LUCIA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,12.4034,0,07/10/2018,1,,,1,01/08/2016,1,1,18,10,,0,0,0,0,0,0,0,,,"MM-210 is in the Municipality of Pasig, Brgy. Sta. Lucia along Ortigas Ave. Extension. The Station is located at the SW end walk of Ortigas Bridge at KM.015+461.32, 0.30 cm from the end portion of wingwall and 10 m from the road centerline. Mark is the head of a 4""in. copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-210,2012, NAMRIA"".",Edil,85918,14.5900944444444,121.093608333333,07/05/2022 7:51:22 AM,0.01366,1 CM,121 5 36.99,14 35 24.34,0,,,0,2013
,MM-210A,0,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,MANGGAHAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,6.203,0,07/10/2018,1,,,1,01/08/2016,1,1,18,10,,0,0,0,0,0,0,0,,,"MM-210A is in the Municipality of Pasig, Brgy. Manggahan along Taniman Ave. The Station is located on the top of a concrete sidewalk beside the footing of a streetsign at the corner of Okra and Taniman Ave. It is also 2.70 m from the road centerline of Taniman Ave. and 2.5 m from the cneterline of Okra road. Mark is the head of a 4""in. copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-210A,2012, NAMRIA"".",Melchor Degollado Jr,85919,14.5977833333333,121.096752777778,05/12/2022 9:34:11 AM,0.02177,2 CM,121 5 48.31,14 35 52.02,0,,,0,
,MM-143,0,NCR,NCR - FOURTH DISTRICT,MUNTINLUPA,ALABANG,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,9.5381,0,11/30/1999,1,,,1,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"""MM-143 Benchmark is in Alabang, Muntinlupa, Metro Manila. It is located on top of a bridge's guardrail, crossing a small creek in Filinvest Alabang, South Station premises. It is about 2.0 m. from the edge of the NW end of the bridge. It is set elevated at approximately 0.80 m from the sidewalk. Mark is about 20.0 m from the pedestrian footbridge."" Mark is a 3/8 x 4 inches copper nail,centered and embedded on 15 x 15 cm cement putty the inscription ""MM-143, 2010, NAMRIA"".",Edil,88022,14.4195277777778,121.0434,06/29/2022 3:08:48 PM,0.036161,4 CM,121 2 36.24,14 25 10.30,0,,,0,2010
,MM-743 (BBM-7),0,NCR,NCR - FOURTH DISTRICT,MUNTINLUPA,ALABANG,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,7.9348,0,11/30/1999,1,,,1,11/30/1999,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"""BM BBM-7 Benchmark is located in Alabang, Muntinlupa, M. Manila. At the intersection of Maharlika Highway and Visayas St., opposite Ayala Mall, at the ""NW"" approach of Bayanan Bridge."" Mark is the head of a 4 inches copper nail,centered and embedded on 20 x 20 cm concrete monument with inscription ""BBM-7, ALABANG, BAYANAN"".",Aila Leana Sampana,88024,14.4110388888889,121.046119444444,02/23/2022 3:46:35 PM,0.010548,1CM,121 2 46.03,14 24 39.74,0,,,0,
,MM-744 (GPS-S25),0,NCR,NCR - FOURTH DISTRICT,MUNTINLUPA,BAYANAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,8.2369,0,11/30/1999,1,,,1,09/17/2019,1,1,23,10,NAMRIA,0,0,0,0,0,0,0,,,"""BM GPS-S25 Benchmark is located in Bgy. Bayanan, Muntinlupa City. Right side of Maharlika Highway going to San Pedro, at the sidewalk, infront of a Seven Eleven convenience store, about 60 m. North of an INC Church."" Mark is the head of a 3 inches stainless bolt, centered and embedded on 25 x 25 cm cement putty with inscription ""NSRP, GPS-S25, JDT, 2018"".",Edil,88049,14.4038138888889,121.046961111111,06/29/2022 9:13:43 AM,0.011885,1 CM,121 2 49.06,14 24 13.73,0,,,0,
