station_id_x,station_name,island_group,region,province,city,barangay,latitude,longitude,description,gravity_value,standard_deviation,date_measured,order_x,encoder,date_last_updated,reference_file,station_code
10001,MMA-115,,NCR,METROPOLITAN MANILA,MANILA,BARANGAY 653,15.0,121.0,update,978345,,,1.0,Gravity Section,,,
10002,BM-66,,NCR,METROPOLITAN MANILA,MANILA,LUNETA,15.0,121.0,"Benchmark is set about 4.9 cm from the edge of the first concrete step near the S end of the stairway to the Bureau of Customs, Port Area, Manila. Mark is a rounded top of a 3/4 inches diameter brass rod protruding about 6.75 mm above the concrete step surface.",978343,,,1.0,Gravity Section,,,
10005,MMGS-5,,NCR,METROPOLITAN MANILA,QUEZON CITY,BALINGASA,15.0,121.0,update,978358,,,1.0,Gravity Section,,,
10086,MMGS-7,,NCR,METROPOLITAN MANILA,MUNTINLUPA,NAMRIA-MAGNETIC,14.0,121.0,update,978348,,,1.0,Gravity Section,,,
20032,GM-6E,,NCR,Metropolitan Manila,Manila,Barangay 163,15.0,121.0,,978348,,,2.0,,,,
20033,560-4A,,NCR,Metropolitan Manila,Kalookan City,Barangay 80,15.0,121.0,,978350,,,2.0,,,,
20034,BB-15,,NCR,Metropolitan Manila,Malabon,Concepcion,15.0,121.0,,978345,,,2.0,,,,
20035,MM-83,,NCR,Metropolitan Manila,Valenzuela,Karuhatan,15.0,121.0,,978353,,,2.0,,,,
20036,MM-129,,NCR,Metropolitan Manila,Quezon City,Talipapa,15.0,121.0,,978367,,,2.0,,,,
20037,MM-133,,NCR,Metropolitan Manila,Quezon City,Holy Spirit,15.0,121.0,,978384,,,2.0,,,,
20038,W-2A,,NCR,Metropolitan Manila,Quezon City,U.P. Campus,15.0,121.0,,978377,,,2.0,,,,
20039,BL-80,,NCR,Metropolitan Manila,Valenzuela,Malanday,15.0,121.0,,978355,,,2.0,,,,
20045,MM-21,,NCR,Metropolitan Manila,Kalookan City,Barangay 181,15.0,121.0,,978394,,,2.0,,,,
20046,MM-137,,NCR,Metropolitan Manila,Quezon City,Pasong Putik Proper,15.0,121.0,,978383,,,2.0,,,,
20047,MM-28,,NCR,Metropolitan Manila,Quezon City,Nagkaisang Nayon,15.0,121.0,,978378,,,2.0,,,,
20048,MM-30,,NCR,Metropolitan Manila,Kalookan City,Barangay 165,15.0,121.0,,978363,,,2.0,,,,
20049,MM-137A,,NCR,Metropolitan Manila,ParaÃÂ±aque,San Martin de Porres,15.0,121.0,,978370,,,2.0,,,,
20050,BEACH A,,NCR,Metropolitan Manila,ParaÃÂ±aque,San Dionisio,14.0,121.0,,978349,,,2.0,,,,
20051,MMA-115(LMS),,NCR,Metropolitan Manila,Las PiÃÂ±as,Almanza Uno,14.0,121.0,,978351,,,2.0,,,,
20052,MM-16,,NCR,Metropolitan Manila,Muntinlupa,Alabang,14.0,121.0,,978364,,,2.0,,,,
20053,MM-98,,NCR,Metropolitan Manila,Makati City,Pembo,15.0,121.0,,978381,,,2.0,,,,
20054,MM-95,,NCR,Metropolitan Manila,Quezon City,Ugong Norte,15.0,121.0,,978411,,,2.0,,,,
20055,MM-105,,NCR,Metropolitan Manila,Pasig City,Dela Paz,15.0,121.0,,978419,,,2.0,,,,
20056,MM-108,,NCR,Metropolitan Manila,Pateros,Martires Del 96,15.0,121.0,,978396,,,2.0,,,,
20057,GM 42M,,NCR,Metropolitan Manila,Taguig,Lower Bicutan,15.0,121.0,,978394,,,2.0,,,,
20058,MM-144,,NCR,Metropolitan Manila,Muntinlupa,Alabang,14.0,121.0,,978371,,,2.0,,,,
20059,MM-72,,NCR,Metropolitan Manila,Makati City,Guadalupe Nuevo,15.0,121.0,,978376,,,2.0,,,,
20060,MM-70,,NCR,Metropolitan Manila,Mandaluyong,Wack-Wack Greenhills,15.0,121.0,,978379,,,2.0,,,,
20061,CIMA-18A,,NCR,Metropolitan Manila,Manila,Barangay 634,15.0,121.0,,978356,,,2.0,,,,
20062,MM-60,,NCR,Metropolitan Manila,Pasay City,Barangay 41,15.0,121.0,,978353,,,2.0,,,,
20063,GM-12M,,NCR,Metropolitan Manila,Pasay City,Barangay 76,15.0,121.0,,978351,,,2.0,,,,
20064,MM-50,,NCR,Metropolitan Manila,Manila,Barangay 395,15.0,121.0,,978350,,,2.0,,,,
20065,MM-45,,NCR,Metropolitan Manila,Quezon City,South Triangle,15.0,121.0,,978366,,,2.0,,,,
20066,MM-132,,NCR,Metropolitan Manila,Quezon City,Culiat,15.0,121.0,,978383,,,2.0,,,,
20067,MM-91,,NCR,Metropolitan Manila,Quezon City,Mangga,15.0,121.0,,978379,,,2.0,,,,
90001,MAKATI-FGS,,NCR,METROPOLITAN MANILA,MAKATI CITY,NAMRIA-FT. BONIFACIO,15.0,121.0,update,978371,,,1.0,,,,
90002,CGSD,,NCR,METROPOLITAN MANILA,MANILA,NAMRIA-BINONDO,15.0,121.0,update,978346,,,1.0,,,,
90003,MMGS-3/UP,,NCR,METROPOLITAN MANILA,QUEZON CITY,U.P. CAMPUS,15.0,121.0,update,978382,,,1.0,,,,
