station_id,station_name,region,province,city,barangay,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,utm_northing,utm_easting,utm_zone,horizontal_date_entry,horizontal_datum,horizontal_reference,horizontal_authority,horizontal_order,date_established,date_est_month,date_est_year,date_est_day,horizontal_date_computed,horizontal_fix,ellipsoidal_height,mark_status,mark_type,mark_const,authority,wgs84_north_degrees,wgs84_north_minutes,wgs84_north_seconds,wgs84_east_degrees,wgs84_east_minutes,wgs84_east_seconds,latitude,longitude,ellipz,description,encoder,status,IsAdopted,AdoptedBy,dateUpdated,utm_x,utm_y,utm_zone_alt,utm_x_wgs84,utm_y_wgs84,utm_zone_wgs84,accuracy_class,error_ellipse,height_error,itrf_lat_dd,itrf_lat_mm,itrf_lat_ss,itrf_lon_dd,itrf_lon_mm,itrf_lon_ss,itrf_ell_hgt,itrf_ell_err,itrf_hgt_err,latitude_decimal,longitude_decimal
,BB-14 BM 2019.75,NCR,NCR - THIRD DISTRICT,CITY OF MALABON,HULONG DUHAT,11/30/1999,LUZON,14,41,2.75862,120,56,25.7248,1623855.89,493589.433,3.0,09/25/2019,0,,NAMRIA,2,11/30/1999,0,0,0,09/09/2019,0,5.015,1,18,10,NAMRIA,120,56,30.61197,14,40,57.31653,14.682587925,120.941836658333,48.17025,"BB-14 ACESS: BB-14 is located in City of Malabon, National Capital Region, Barangay Hulong Duhat, along Arellano street., 150 meters Southwest of Sto. Rosario Parish Church, on the south end of the west side of Dampalit Bridge. 6 meters from the road centerline, 2.5 meters northeast of the welcome marker and 10 cm from the face of the last railguard post of the bridge. STA. MARK: Mark is the head of 4"" copper nail set in a drilled hole flushed on a cement putty with inscription ""BB-14,2000,NAMRIA.",Aila Leana Sampana,0,0,,02/04/2021 2:19:36 PM,278219.556,1624297.393,51,278367.21843,1624228.57923,51,2.0,0.02,0.04,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.684099616666668,120.94047911111112
,BINONDO CHURCH 1924-47,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,,11/30/1999,LUZON,0,0,0.0,0,0,0.0,0.0,0.0,,10/23/2023,0,,,3,11/30/1999,0,0,0,11/30/1999,0,0.0,0,0,10,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,"BINONDO CHURCH, 1924-47 Is in the District of Binondo, the center of the base of the finial on the Binondo Church which stands at the NW end of Rosario St. Luzon 1911 Datum Latitude: 14 36 4.4879 Longtitude: 120 58 23.289",Edil,0,0,,10/23/2023 1:23:15 PM,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,
,BINONDO CHURCH DOME 1924-56,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,,11/30/1999,LUZON,0,0,0.0,0,0,0.0,0.0,0.0,,10/23/2023,0,,,3,11/30/1999,0,0,0,11/30/1999,0,0.0,0,0,10,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,"BINONDO CHURCH DOME, 1956 Is in the District of Binondo, the station is the center of the cross surmounting the dome of Binondo Church. Luzon 1911 Datum Latitude: 14 36 6.136 Longtitude: 120 58 24.376",Edil,0,0,,10/23/2023 1:45:51 PM,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,
,BM-2,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,32,11.53047,121,2,20.80573,1607530.007,504215.359,3.0,12/01/2020,0,,NAMRIA,1,11/30/1999,0,0,0,11/11/2020,0,27.65662,1,18,10,NAMRIA,121,2,25.70495,14,32,6.1307,14.5350363055556,121.040473597222,71.473,"BM-2 ACCESS: BM-2 is located inside NAMRIA Compound. situated on the sidewalk approximately 5 meters from the main gate of NAMRIA. STA. MARK: Mark is the head of a 4""copper nail centered on a cement putty.",Jay Cepe,0,0,,12/01/2020 11:26:16 AM,288703.678,1607874.771,51,288851.74023,1607806.41502,51,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.536536241666667,121.03911270277777
,BM-66 (MMA) INTER 2014,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,PORT AREA,11/30/1999,LUZON,14,35,15.88033,120,57,59.42595,1613195.222,496391.158,3.0,03/01/2016,0,PRS92,,2,11/30/1999,0,0,0,06/08/2017,8,3.07531,1,18,10,NAMRIA,120,58,4.3212,14,35,10.46274,14.58623965,120.967867,46.569,"BM-66 Benchmark is set about 4.9 cm from the edge of the first concrete step near the S end of the stairway to the Bureau of Customs, Port Area, Manila. Mark is a rounded top of a 3/4 inches diameter brass rod protruding about 6.75 mm above the concrete step surface.",Aila Leana Sampana,0,0,,02/03/2021 1:31:27 PM,280927.786,1613609.74,51,281075.74477,1613541.10103,51,2.0,0.02,0.05,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.587744536111112,120.96650720833334
,BM-66 BM 2019.75,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,PORT AREA,11/30/1999,LUZON,14,35,15.88005,120,57,59.42607,1613195.214,496391.161,3.0,09/25/2019,0,,NAMRIA,2,11/30/1999,0,0,0,09/09/2019,0,2.90667,1,21,10,NAMRIA,120,58,4.32132,14,35,10.46246,14.5862395722222,120.967867033333,46.40036,"BM-66 is set about 4.9 cm from the edge of the first concrete step near the S end of the stairway to the Bureau of Customs, Port Area, Manila. Mark is a rounded top of a 3/4 inches diameter brass rod protruding about 6.75 mm above the concrete step surface. ITRF2014 Coordinates: Latitude: 14 35 10.62071 Longitude: 120 58 4.28947 Ellipsoidal Height: 44.97222",ysn,0,0,,06/01/2022 11:30:40 AM,280927.789,1613609.732,51,281075.74828,1613541.09239,51,2.0,0.02,0.03,14,35,10.62071,120,58,4.28947,44.97222,0.0,0.0,14.587744458333335,120.96650724166668
,D-9 BM 2019.75,NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,TALON,11/30/1999,LUZON,14,26,33.79721,120,59,50.26177,1597150.73,499708.34,3.0,09/25/2019,0,,NAMRIA,2,11/30/1999,0,0,0,09/09/2019,0,16.82667,1,1,10,NAMRIA,120,59,55.16923,14,26,28.41592,14.4412266444444,120.998658119444,60.80717,"D-9 ACCESS: BM D-9 is in Barangay Talon, Las Piñas City, Metro Manila. it is located at the right side of the national road going to Alabang. the station is embedded in a hole drilled on top and near the southeast end of the south footwalk of a concrete bridge. approximately 7.5m southwest of the centerline of the bridge, it is 2.5m northwest of concrete post and 15.7m northeast of electric post",Aila Leana Sampana,0,0,,02/04/2021 2:15:40 PM,284105.162,1597533.051,51,284253.57449,1597464.64886,51,1.0,0.01,0.03,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.442721447222223,120.99729493611112
,GM-43M BM 2018.83,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,HAGONOY,11/30/1999,LUZON,14,30,53.68349,121,4,8.34518,1605138.436,507435.535,3.0,11/30/1999,0,,NAMRIA,2,11/30/1999,0,0,0,10/28/2018,0,6.50232,1,18,10,NAMRIA,121,4,13.24611,14,30,48.29116,14.5134142111111,121.070346141667,50.453,"BM GM-43M is located at the top of a 1m x 1m footing of an Electric Post situated at the W side of Quezon St., Hagonoy, Taguig. The station is 15m SW from a ""Km.17"" post and about 50m NE of Tinga Elementary School. Station mark is a 3in. copper nail centered and embedded on a 15cm x 15cm concrete putty with inscription GM-43M 2001 NAMRIA.",Aila Leana Sampana,0,0,,02/04/2021 11:26:57 AM,291903.404,1605454.621,51,292051.51167,1605386.38152,51,2.0,0.02,0.06,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.514912080555556,121.06898477222222
,GM-6E BM 2019.83,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,TONDO,11/30/1999,LUZON,14,37,25.21155,120,58,14.82374,1617169.691,496852.533,3.0,10/24/2019,0,,NAMRIA,1,11/30/1999,0,0,0,10/21/2019,0,3.48626,1,21,10,NAMRIA,120,58,19.7159,14,37,19.78595,14.6221627638889,120.972143305556,46.88797,"GM-6E is in the Metro Manila, Barangay Tondo along Juan Luna Street and Honorio Lopez Bloulevard. It is located on top of the oval shaped concrete foundation of light post infront of Petron Gasoline Sttaion on the North West side. Mark is the head of a 5/8"" diameter brass rod with inscription ""GM-6E; NAMRIA"".",Aila Leana Sampana,0,0,,02/04/2021 2:18:37 PM,281424.261,1617580.954,51,281572.09639,1617512.2944,51,1.0,0.01,0.04,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.623669875000001,120.97078437222223
,GPS-1 (CALOOCAN) BM 2019.83,NCR,NCR - THIRD DISTRICT,CALOOCAN CITY,BARANGAY 54,11/30/1999,LUZON,14,39,31.74895,120,58,57.68433,1621058.245,498135.46,3.0,10/24/2019,0,,NAMRIA,1,11/30/1999,0,0,0,10/21/2019,0,18.16765,1,21,10,NAMRIA,120,59,2.57342,14,39,26.31615,14.6573100416667,120.984048172222,61.49802,"GPS-1 is in Metro Manila, City of Caloocan, Barangay 54, Zone 5 inside the Andres Bonifacio premises. It is on the concrete minigarden curve about 16 m from the north side of the monument. it is also 3 m. NE of west corner of the mini garden. mark is the head of a 4"" brass rod with inscription ""GPS-1""",Aila Leana Sampana,0,0,,02/04/2021 2:17:00 PM,282741.774,1621458.953,51,282889.48171,1621390.29925,51,1.0,0.01,0.03,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.658819152777777,120.98269009166667
